season,scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
Monsoon_JJAS,3hour,T2M,Temperature at 2 m,deg C,134928,29.171968753705688,28.49229663227795,-0.6796721214277248,1.6211549863630976,2.0163088155521973,1.898301094933952,0.6693807765254353,0.4480706239817947,0.351691378164833,0.622880064133168,-2.3298808769681916,0.820090187573904
Monsoon_JJAS,3hour,RH2M,Relative humidity at 2 m,%,135424,84.5343809073724,87.77836912216446,3.2439882147920605,7.719085243383743,10.116438138268194,9.58221587461363,0.5941103213484695,0.3529670739327817,0.2390023111350199,0.5381907162184911,3.8374779349796437,0.7830927394926535
Monsoon_JJAS,3hour,PRECTOTCORR,Precipitation,mm at obs hour,132192,1.593825647542968,16.755645197893973,15.161819550351003,15.78757421023965,35.34764884790972,31.930792458029085,0.25692671120126154,0.06601133492869644,-32.95721271615681,-9.52065125310301,951.2847012924137,5.431442946218763
Monsoon_JJAS,3hour,WS10M,Wind speed at 10 m,m/s,136384,1.7021644767714688,3.388137147074925,1.6859726703034568,2.299901576920069,2.8196161520694303,2.260029070609635,0.35546962488861483,0.12635865421845255,-0.6910246680722778,-0.195853503500526,99.04875194559791,0.8167497034239741
PostMonsoon_ON,3hour,T2M,Temperature at 2 m,deg C,67344,26.128079710144938,24.78314920408648,-1.3449305060584467,1.9298538845331434,2.3936115216665357,1.9800348609375944,0.8749552766234487,0.7655467360912157,0.6548702287381529,0.8410000055541184,-5.147452552880267,0.9163627558377443
PostMonsoon_ON,3hour,RH2M,Relative humidity at 2 m,%,67344,80.72717688287004,82.34918260473587,1.6220057218658432,9.207497822127188,12.077892422452043,11.968482894943659,0.6882916199438284,0.4737453540848995,0.4640688675689526,0.5563895874942698,2.0092437076293024,0.6850009875275851
PostMonsoon_ON,3hour,PRECTOTCORR,Precipitation,mm at obs hour,65860,0.47486638323716984,5.707332675372001,5.232466292134832,5.3971954145156396,22.548722480802468,21.93322096769919,0.3820362922717783,0.14595172861276762,-40.0111853172395,-11.349625466002177,1101.881808618468,6.5422935676513685
PostMonsoon_ON,3hour,WS10M,Wind speed at 10 m,m/s,68312,0.8522367958777375,2.1594605145020886,1.3072237186243512,1.8019017644532926,2.16253275063177,1.722705444067828,0.2958007007884493,0.0874980545869377,-0.7022620873133962,-0.7133224400133311,153.38738305449635,0.7053676826746309
PreMonsoon_MAM,3hour,T2M,Temperature at 2 m,deg C,102800,28.141989299610895,28.537492023346307,0.3955027237354081,2.3427221141374837,2.972336815618657,2.9459062681965853,0.7897408756877581,0.623690650732067,0.5375579265536481,0.7782853608848547,1.4053829653786294,1.068927292950403
PreMonsoon_MAM,3hour,RH2M,Relative humidity at 2 m,%,102770,73.73006714021602,64.58269994486069,-9.147367195355322,14.343335084817227,18.64014725428659,16.241328857418814,0.6963613826029544,0.48491917518069827,0.03712709323847274,0.6345991009160905,-12.406562953427581,1.1610252360495206
PreMonsoon_MAM,3hour,PRECTOTCORR,Precipitation,mm at obs hour,99392,0.4195277285898261,5.370110773502898,4.950583044913071,5.197644377817128,17.775051237385206,17.071736115787655,0.2495059134274328,0.062253200835257594,-30.068598623550518,-11.656750395494415,1180.0371483319225,5.51456775954621
PreMonsoon_MAM,3hour,WS10M,Wind speed at 10 m,m/s,102784,1.748394691780822,2.871300721253632,1.1229060294728104,1.993852026255708,2.520096143567912,2.256095437209931,0.4163654987039924,0.1733602285110243,-0.12044891569585303,0.07625996303375793,64.22497361445761,0.6834850695250265
Winter_DJF,3hour,T2M,Temperature at 2 m,deg C,100553,19.938020745278607,19.142245648231942,-0.7957750970466656,2.4208079984353192,2.986502196410389,2.8785304174325566,0.8092781314555497,0.654931094052186,0.6061841986769415,0.799663973875211,-3.9912442022867687,0.9534522912040049
Winter_DJF,3hour,RH2M,Relative humidity at 2 m,%,100553,77.80503813909083,72.54010074289182,-5.264937396199019,13.720272592563127,17.722676837766954,16.922579842034324,0.597970003290359,0.35756812483507194,0.20373742114933358,0.5769535791936442,-6.766833513771917,0.8870347295740693
Winter_DJF,3hour,PRECTOTCORR,Precipitation,mm at obs hour,97729,0.057598051755364324,0.8748249751864852,0.8172269234311208,0.840903825885868,7.329602423390069,7.283900867020698,0.34177679713135,0.11681137905736398,-69.63613575393732,-15.128486691117004,1418.844732634571,8.640863015933274
Winter_DJF,3hour,WS10M,Wind speed at 10 m,m/s,101044,0.8955504532678833,2.3076594025045196,1.4121089492366363,1.9091280696198356,2.2228146214530002,1.716640077835493,0.22285883094147224,0.049666058528599705,-0.8493460346277726,-0.799887503947101,157.6805577043504,0.6135665614575099
