season,scale,variable,label,unit,n,bmd_mean,nasa_mean,bias,mae,rmse,ubrmse,pearson_r,r2,nse,kge,pbias_percent,std_ratio
Monsoon_JJAS,3hour,T2M,Temperature at 2 m,deg C,134928,29.171968753705688,28.48248495493893,-0.6894837987667496,1.488686781098067,1.8568338209064361,1.7240777040783768,0.7321707447325858,0.5360739994422693,0.4501885559153791,0.6832533396726865,-2.363514799388249,0.8325565270584846
Monsoon_JJAS,3hour,RH2M,Relative humidity at 2 m,%,135424,84.5343809073724,87.87383351547733,3.339452608104915,7.129946021384688,9.427798638518365,8.816543735879156,0.6639903787165279,0.4408832230281181,0.33908033535339877,0.6076886515356111,3.9504076001503847,0.8013919525342637
Monsoon_JJAS,3hour,PRECTOTCORR,Precipitation,mm / 3h,132192,1.593825647542968,50.15350217864925,48.55967653110628,48.78199043815057,104.38345048024098,92.40055491908717,0.25923126644485983,0.06720084950260591,-295.1244510826405,-32.73338573434013,3046.7370509419006,15.46139374427494
Monsoon_JJAS,3hour,WS10M,Wind speed at 10 m,m/s,136384,1.7021644767714688,3.3837371685828246,1.6815726918113567,2.2946830273345844,2.81495283117202,2.2574925744900423,0.36150428314154875,0.13068534672968504,-0.6854357728807328,-0.18924916876727482,98.79025880042046,0.8248278515811868
PostMonsoon_ON,3hour,T2M,Temperature at 2 m,deg C,67344,26.128079710144938,24.760940544072227,-1.3671391660727013,1.8137984081729628,2.191277269292834,1.7124913347253752,0.9079775285175677,0.8244231922928705,0.7107524042961701,0.8787370207856121,-5.232451757799378,0.9408500234112964
PostMonsoon_ON,3hour,RH2M,Relative humidity at 2 m,%,67344,80.72717688287004,82.32655544666191,1.5993785637918747,8.671365377761939,11.276419780671066,11.162420493763562,0.7367876650111219,0.5428560633125412,0.5328362440361258,0.6092258328434462,1.981214537097551,0.7118486589960057
PostMonsoon_ON,3hour,PRECTOTCORR,Precipitation,mm / 3h,65860,0.47486638323716984,16.962643789857275,16.487777406620104,16.542449438202247,66.58403339917005,64.51036118246076,0.39469199673971195,0.1557817722903808,-356.6009282252144,-37.973701081185126,3472.0877258614787,18.693039890843135
PostMonsoon_ON,3hour,WS10M,Wind speed at 10 m,m/s,68312,0.8522367958777375,2.151058818362806,1.2988220224850684,1.7883535835577935,2.147822709689756,1.7106150198588934,0.31076122941080114,0.09657254170491257,-0.6791825016539195,-0.6970867973604902,152.4015424782713,0.7128928772803735
PreMonsoon_MAM,3hour,T2M,Temperature at 2 m,deg C,102800,28.141989299610895,28.507271984435793,0.3652826848249027,1.9865245136186773,2.558595618481065,2.532386246029151,0.8503850978456655,0.7231548146379821,0.6573390599573234,0.8233919103535121,1.2979988050452187,1.092937173897967
PreMonsoon_MAM,3hour,RH2M,Relative humidity at 2 m,%,102770,73.73006714021602,64.71124423469884,-9.018822905517174,13.474149946482436,17.69744223614979,15.226959483126539,0.7443459230551123,0.5540508531687671,0.13205681810900072,0.6600548786041085,-12.23221849013869,1.187725761639887
PreMonsoon_MAM,3hour,PRECTOTCORR,Precipitation,mm / 3h,99392,0.4195277285898261,15.815141460077271,15.395613731487447,15.513760262395364,49.47755941351543,47.02131392622695,0.27282205591873077,0.07443187419572306,-239.72238625637686,-38.27917797661508,3669.7487871033663,14.986401206585725
PreMonsoon_MAM,3hour,WS10M,Wind speed at 10 m,m/s,102784,1.748394691780822,2.869076412671233,1.120681720890411,1.9939193843399754,2.5214917706267492,2.2587592235119986,0.41843500424939395,0.17508785278119032,-0.12169026660590943,0.08156402303403443,64.0977535655261,0.6926653317825437
Winter_DJF,3hour,T2M,Temperature at 2 m,deg C,100553,19.938020745278607,19.112459300070608,-0.8255614452079998,2.029454715423707,2.4952729317388522,2.3547473970799255,0.8763905444481425,0.7680603863981116,0.7250817494419564,0.8692495084889935,-4.140638911730974,0.9899052256682436
Winter_DJF,3hour,RH2M,Relative humidity at 2 m,%,100553,77.80503813909083,72.38217377900213,-5.42286436008871,12.541735801020357,16.203207623270956,15.268807399889019,0.6831130161801463,0.46664339287473683,0.3344209199287992,0.6665873129052404,-6.969811325578096,0.9232612717730595
Winter_DJF,3hour,PRECTOTCORR,Precipitation,mm / 3h,97729,0.057598051755364324,2.4957705491716893,2.438172497416325,2.448456241238527,19.103471570622606,18.947240984439627,0.3677231141582038,0.1352202886862074,-478.8336369744653,-46.29060882528968,4233.081542014567,22.073774575802826
Winter_DJF,3hour,WS10M,Wind speed at 10 m,m/s,101044,0.8955504532678833,2.3049170658327065,1.4093666125648234,1.9024478445033848,2.216295853732154,1.7104540516067344,0.23960487698504632,0.057410497075019176,-0.8385149200416078,-0.7865380656844887,157.37433970604488,0.6300686046800197
