YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,18.113333333333333,85.39333333333333,0.0,2.1199999999999997
2021,1,1,3,21.709999999999997,72.16,0.0,1.6333333333333335
2021,1,1,6,23.143333333333334,65.80666666666667,0.0,1.72
2021,1,1,9,21.8,71.51333333333334,0.0,1.906666666666667
2021,1,1,12,19.900000000000002,75.59333333333333,0.0,2.4166666666666665
2021,1,1,15,18.82,81.49,0.0,2.7899999999999996
2021,1,1,18,17.456666666666667,90.93333333333334,0.0,3.2566666666666664
2021,1,1,21,16.63,95.77999999999999,0.0,3.1166666666666667
2021,1,2,0,17.853333333333335,89.57000000000001,0.0,2.3333333333333335
2021,1,2,3,21.473333333333333,72.23333333333333,0.0,1.2466666666666668
2021,1,2,6,22.656666666666666,66.75333333333333,0.0,1.6199999999999999
2021,1,2,9,21.156666666666666,75.02333333333333,0.0,2.486666666666667
2021,1,2,12,19.293333333333333,80.34333333333332,0.0,2.92
2021,1,2,15,18.843333333333334,83.14333333333333,0.0,2.466666666666667
2021,1,2,18,18.069999999999997,88.08999999999999,0.0,2.203333333333333
2021,1,2,21,16.95,95.27666666666666,0.0,2.66
2021,1,3,0,17.683333333333334,91.43666666666667,0.0,2.47
2021,1,3,3,21.296666666666667,74.23333333333333,0.0,2.063333333333333
2021,1,3,6,23.0,66.51333333333334,0.0,1.9666666666666668
2021,1,3,9,21.89,72.13666666666667,0.0,2.08
2021,1,3,12,20.023333333333337,76.70333333333333,0.0,2.123333333333333
2021,1,3,15,18.91,84.48666666666666,0.0,2.2066666666666666
2021,1,3,18,17.36,95.07666666666667,0.0,2.6033333333333335
2021,1,3,21,16.30333333333333,99.98666666666666,0.0,2.763333333333333
2021,1,4,0,17.416666666666668,94.14666666666666,0.0,2.4133333333333336
2021,1,4,3,21.916666666666668,72.64333333333333,0.0,2.563333333333333
2021,1,4,6,23.849999999999998,68.35666666666667,0.0,2.7533333333333334
2021,1,4,9,22.736666666666668,74.73666666666666,0.0,2.0466666666666664
2021,1,4,12,20.606666666666666,75.98666666666666,0.0,2.2733333333333334
2021,1,4,15,18.996666666666666,86.21333333333332,0.0,2.5233333333333334
2021,1,4,18,17.273333333333333,98.31,0.0,3.0866666666666664
2021,1,4,21,16.349999999999998,100.0,0.0,3.5100000000000002
2021,1,5,0,17.69666666666667,94.25666666666666,0.0,3.146666666666667
2021,1,5,3,22.263333333333332,74.81,0.0,2.64
2021,1,5,6,23.849999999999998,69.84666666666668,0.0,3.2533333333333334
2021,1,5,9,22.653333333333336,76.93,0.0,2.6366666666666667
2021,1,5,12,20.543333333333333,83.01666666666667,0.0,2.62
2021,1,5,15,19.293333333333333,90.96,0.0,2.533333333333333
2021,1,5,18,18.03333333333333,98.68333333333334,0.0,2.67
2021,1,5,21,17.30333333333333,100.0,0.0,3.1033333333333335
2021,1,6,0,18.33666666666667,94.49333333333334,0.0,3.0933333333333337
2021,1,6,3,22.63,72.37666666666667,0.0,2.4600000000000004
2021,1,6,6,24.423333333333336,67.77666666666666,0.0,1.9900000000000002
2021,1,6,9,23.393333333333334,73.95,0.0,1.7166666666666668
2021,1,6,12,21.036666666666665,80.36666666666666,0.0,2.6
2021,1,6,15,20.016666666666666,88.27333333333333,0.0,2.4966666666666666
2021,1,6,18,18.790000000000003,96.93333333333334,0.0,2.46
2021,1,6,21,18.093333333333334,98.36,0.0,2.5466666666666664
2021,1,7,0,19.036666666666665,92.41333333333334,0.0,2.3266666666666667
2021,1,7,3,23.28,72.33666666666666,0.0,2.0533333333333332
2021,1,7,6,24.72666666666667,70.79333333333334,0.0,2.08
2021,1,7,9,23.786666666666665,77.50666666666666,0.0,1.88
2021,1,7,12,21.939999999999998,78.52666666666666,0.0,2.5866666666666664
2021,1,7,15,20.546666666666667,85.44,0.0,3.0066666666666664
2021,1,7,18,19.273333333333333,94.19333333333333,0.0,3.3066666666666666
2021,1,7,21,18.540000000000003,96.97666666666667,0.0,3.223333333333333
2021,1,8,0,19.42,92.75999999999999,0.0,2.8833333333333333
2021,1,8,3,23.383333333333336,76.44666666666666,0.0,3.013333333333333
2021,1,8,6,24.996666666666666,70.65333333333334,0.0,3.19
2021,1,8,9,23.893333333333334,77.62333333333333,0.0,2.65
2021,1,8,12,21.563333333333333,82.25666666666667,0.0,3.35
2021,1,8,15,19.91333333333333,90.81,0.0,3.356666666666667
2021,1,8,18,18.669999999999998,97.48666666666668,0.0,3.4066666666666667
