YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,15.333333333333334,83.49,0.0,3.063333333333333
2021,1,1,3,21.61,65.98,0.0,2.1133333333333333
2021,1,1,6,22.91,62.596666666666664,0.0,1.57
2021,1,1,9,20.849999999999998,70.22333333333334,0.0,1.1433333333333333
2021,1,1,12,17.72,75.72333333333334,0.0,1.2566666666666666
2021,1,1,15,14.763333333333334,87.56333333333333,0.0,2.4133333333333336
2021,1,1,18,13.770000000000001,89.06333333333333,0.0,2.49
2021,1,1,21,12.530000000000001,91.92999999999999,0.0,2.66
2021,1,2,0,14.476666666666667,87.19666666666666,0.0,2.9800000000000004
2021,1,2,3,20.72,70.28666666666668,0.0,1.83
2021,1,2,6,22.073333333333334,66.04,0.0,1.62
2021,1,2,9,20.076666666666668,73.77666666666666,0.0,1.2133333333333332
2021,1,2,12,17.143333333333334,78.87333333333333,0.0,1.3366666666666667
2021,1,2,15,13.996666666666668,90.03666666666668,0.0,2.9233333333333333
2021,1,2,18,13.316666666666668,86.96666666666665,0.0,2.9266666666666663
2021,1,2,21,12.700000000000001,84.71333333333332,0.0,2.7600000000000002
2021,1,3,0,15.103333333333333,80.67333333333333,0.0,2.58
2021,1,3,3,21.39,63.96666666666667,0.0,1.5566666666666666
2021,1,3,6,22.903333333333336,60.546666666666674,0.0,1.5200000000000002
2021,1,3,9,20.896666666666665,68.61333333333333,0.0,0.8566666666666666
2021,1,3,12,16.956666666666667,77.38666666666667,0.0,1.9000000000000001
2021,1,3,15,15.176666666666668,80.55333333333333,0.0,2.8266666666666667
2021,1,3,18,14.46,77.53333333333335,0.0,2.6799999999999997
2021,1,3,21,13.243333333333334,79.85666666666667,0.0,2.766666666666667
2021,1,4,0,16.106666666666666,77.63333333333334,0.0,2.44
2021,1,4,3,22.75666666666667,56.71666666666667,0.0,0.9966666666666666
2021,1,4,6,24.310000000000002,55.54666666666666,0.0,1.0566666666666666
2021,1,4,9,22.676666666666666,62.120000000000005,0.0,0.49333333333333335
2021,1,4,12,18.823333333333334,72.83666666666666,0.0,1.4733333333333334
2021,1,4,15,17.563333333333333,75.43666666666667,0.0,2.02
2021,1,4,18,17.069999999999997,73.22333333333334,0.0,1.5199999999999998
2021,1,4,21,14.296666666666667,84.33333333333333,0.0,2.25
2021,1,5,0,16.176666666666666,82.12666666666667,0.0,2.31
2021,1,5,3,22.933333333333334,61.846666666666664,0.0,0.8300000000000001
2021,1,5,6,25.076666666666668,60.550000000000004,0.0,1.6566666666666665
2021,1,5,9,21.900000000000002,77.98666666666666,0.0,1.7566666666666666
2021,1,5,12,17.95,86.96999999999998,0.0,1.79
2021,1,5,15,16.773333333333333,87.3,0.0,2.6166666666666667
2021,1,5,18,18.363333333333333,71.7,0.0,1.5733333333333333
2021,1,5,21,16.883333333333336,75.38333333333333,0.0,1.43
2021,1,6,0,17.023333333333333,82.44,0.0,2.0033333333333334
2021,1,6,3,23.330000000000002,65.28333333333335,0.0,1.1866666666666665
2021,1,6,6,25.373333333333335,63.376666666666665,0.0,2.7466666666666666
2021,1,6,9,22.430000000000003,78.46333333333332,0.0,2.0666666666666664
